Serial Number:     965257     --     Series: Temperature (*C) c:1
Serial Number:     965257     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     965257     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     965257     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
12/05/13 15:00:00.0	25.95	26.1	6.4	26.3
12/05/13 16:00:00.0	29.1	29.03	6.8	23.6
12/05/13 17:00:00.0	29.1	29	6.2	21.4
12/05/13 18:00:00.0	29.1	28.98	5.8	20.1
12/05/13 19:00:00.0	29.1	29.03	5.7	19.6
12/05/13 20:00:00.0	25.56	25.49	5.6	23.6
12/05/13 21:00:00.0	25.17	25.17	5.3	22.7
12/05/13 22:00:00.0	25.17	25.05	5.2	22.2
12/05/13 23:00:00.0	25.17	25.08	5	21.4
12/06/13 00:00:00.0	25.17	25	5	21.4
12/06/13 01:00:00.0	24.79	24.93	4.9	21.4
12/06/13 02:00:00.0	25.17	25.03	5	21.4
12/06/13 03:00:00.0	24.79	24.93	4.7	20.5
12/06/13 04:00:00.0	25.17	25	4.8	20.5
12/06/13 05:00:00.0	24.79	24.88	4.6	20.1
12/06/13 06:00:00.0	28.31	28.48	4.5	16.3
12/06/13 07:00:00.0	28.7	28.83	4.5	15.9
12/06/13 08:00:00.0	28.7	28.85	4.5	15.9
12/06/13 09:00:00.0	29.1	28.95	4.7	16.3
12/06/13 10:00:00.0	29.1	28.93	3.7	12.8
12/06/13 11:00:00.0	29.1	29	4.4	15.1
12/06/13 12:00:00.0	29.1	28.98	4.4	15.1
12/06/13 13:00:00.0	29.1	29.03	4.5	15.5
12/06/13 14:00:00.0	29.1	29.05	4.5	15.5
12/06/13 15:00:00.0	29.1	29.15	4.6	15.9
12/06/13 16:00:00.0	29.1	29.15	4.5	15.5
12/06/13 17:00:00.0	29.1	29.2	4	13.9
12/06/13 18:00:00.0	29.1	29.03	4.6	15.9
12/06/13 19:00:00.0	29.1	29.03	4.6	15.9
12/06/13 20:00:00.0	25.56	25.54	4.6	19.2
12/06/13 21:00:00.0	25.17	25.22	4.4	18.8
12/06/13 22:00:00.0	25.17	25.12	4.3	18.4
12/06/13 23:00:00.0	25.17	25	4.4	18.8
12/07/13 00:00:00.0	25.17	25.03	4.3	18.4
12/07/13 01:00:00.0	24.79	24.93	4.2	18.4
12/07/13 02:00:00.0	24.79	24.93	4.2	18.4
12/07/13 03:00:00.0	24.79	24.88	4.2	18.4
12/07/13 04:00:00.0	24.79	24.95	4.2	18.4
12/07/13 05:00:00.0	24.79	24.86	4.1	17.9
12/07/13 06:00:00.0	28.31	28.43	4.1	14.7
12/07/13 07:00:00.0	28.7	28.78	4	14.3
12/07/13 08:00:00.0	29.1	28.93	4.1	14.3
12/07/13 09:00:00.0	29.1	28.98	4.5	15.5
12/07/13 10:00:00.0	29.1	29.03	4.5	15.5
12/07/13 11:00:00.0	29.1	29.08	4.4	15.1
12/07/13 12:00:00.0	29.1	29.08	4.1	14.3
12/07/13 13:00:00.0	29.1	29.1	4.1	14.3
12/07/13 14:00:00.0	29.1	29.08	4.1	14.3
12/07/13 15:00:00.0	29.1	29.1	4.1	14.3
12/07/13 16:00:00.0	29.1	29.08	4	13.9
12/07/13 17:00:00.0	29.1	29.13	4	13.9
12/07/13 18:00:00.0	29.1	29.13	4.1	14.3
12/07/13 19:00:00.0	29.1	29.03	4.1	14.3
12/07/13 20:00:00.0	25.56	25.54	4.1	17.1
12/07/13 21:00:00.0	25.17	25.15	4	17.1
12/07/13 22:00:00.0	25.17	25.08	3.9	16.7
12/07/13 23:00:00.0	25.17	25.03	3.9	16.7
12/08/13 00:00:00.0	24.79	24.95	3.7	16.3
12/08/13 01:00:00.0	25.17	25	3.9	16.7
12/08/13 02:00:00.0	24.79	24.95	3.8	16.7
12/08/13 03:00:00.0	24.79	24.91	3.8	16.7
12/08/13 04:00:00.0	24.79	24.86	3.9	17.1
12/08/13 05:00:00.0	24.79	24.91	3.9	17.1
12/08/13 06:00:00.0	28.31	28.43	4	14.3
12/08/13 07:00:00.0	28.7	28.78	4.2	14.7
12/08/13 08:00:00.0	28.7	28.85	4.2	14.7
12/08/13 09:00:00.0	29.1	29	4.4	15.1
12/08/13 10:00:00.0	29.1	29.03	4.2	14.7
12/08/13 11:00:00.0	29.1	29.03	4.2	14.7
12/08/13 12:00:00.0	29.1	29.08	4.1	14.3
12/08/13 13:00:00.0	29.1	29.13	4	13.9
12/08/13 14:00:00.0	29.1	29.1	4.1	14.3
12/08/13 15:00:00.0	29.1	29.1	4.1	14.3
12/08/13 16:00:00.0	29.1	29.15	4.2	14.7
12/08/13 17:00:00.0	29.1	29.13	4.4	15.1
12/08/13 18:00:00.0	29.1	29.1	4.4	15.1
12/08/13 19:00:00.0	29.1	29.08	4.2	14.7
12/08/13 20:00:00.0	25.56	25.56	4.2	17.5
12/08/13 21:00:00.0	25.17	25.17	4.2	17.9
12/08/13 22:00:00.0	25.17	25.12	4.1	17.5
12/08/13 23:00:00.0	25.17	25.03	4.4	18.8
12/09/13 00:00:00.0	24.79	24.95	4.4	19.2
12/09/13 01:00:00.0	24.79	24.95	4.5	19.6
12/09/13 02:00:00.0	24.79	24.95	4.9	21.4
12/09/13 03:00:00.0	24.79	24.91	5	21.8
12/09/13 04:00:00.0	24.79	24.95	4.9	21.4
12/09/13 05:00:00.0	24.79	24.91	5	22.2
12/09/13 06:00:00.0	28.31	28.48	5.1	18.4
12/09/13 07:00:00.0	28.7	28.85	5.2	18.4
12/09/13 08:00:00.0	29.1	28.95	5.5	19.2
12/09/13 09:00:00.0	29.1	29	5.5	19.2
12/09/13 10:00:00.0	29.1	29.05	5.8	20.1
12/09/13 11:00:00.0	29.1	29.08	5.4	18.8
12/09/13 12:00:00.0	29.1	29.05	5.2	17.9
12/09/13 13:00:00.0	29.1	29.28	4.8	16.7
12/09/13 14:00:00.0	29.5	29.33	4.9	16.7
12/09/13 15:00:00.0	28.7	28.85	3.5	12.4
12/09/13 16:00:00.0	29.1	28.93	5.1	17.5
12/09/13 17:00:00.0	29.1	28.93	4.9	17.1
12/09/13 18:00:00.0	29.1	29.03	4.8	16.7
12/09/13 19:00:00.0	29.1	28.95	4.7	16.3
12/09/13 20:00:00.0	25.56	25.39	4.6	19.2
12/09/13 21:00:00.0	25.17	25.08	4.3	18.4
12/09/13 22:00:00.0	25.17	25.03	4.2	17.9
12/09/13 23:00:00.0	24.79	24.88	4.2	18.4
12/10/13 00:00:00.0	24.79	24.88	4	17.5
12/10/13 01:00:00.0	24.79	24.88	3.9	17.1
12/10/13 02:00:00.0	24.79	24.93	3.9	17.1
12/10/13 03:00:00.0	24.79	24.93	3.9	17.1
12/10/13 04:00:00.0	24.79	24.88	3.8	16.7
12/10/13 05:00:00.0	24.79	24.91	3.6	15.9
12/10/13 06:00:00.0	28.31	28.45	3.6	13.2
12/10/13 07:00:00.0	28.7	28.8	3.7	13.2
12/10/13 08:00:00.0	29.1	28.93	3.8	13.2
12/10/13 09:00:00.0	29.1	28.98	3.9	13.5
12/10/13 10:00:00.0	29.1	29.05	3.8	13.2
12/10/13 11:00:00.0	29.1	29.2	4.2	14.7
12/10/13 12:00:00.0	29.1	29.2	3.3	11.3
12/10/13 13:00:00.0	29.1	29.15	4	13.9
12/10/13 14:00:00.0	29.1	29.18	4.2	14.7
12/10/13 15:00:00.0	29.1	29.2	4.2	14.7
12/10/13 16:00:00.0	29.1	29.2	4.1	14.3
