NUMERICAL CODE,CTRY_NAME,ISO_3_CODE,ALUMNI_NAME,ALUMNI,INT_STU_NAME,INT_STUDENTS
4,Afghanistan,AFG,Afghanistan,5,Afghanistan,3
8,Albania,ALB,Albania,5,Albania,8
12,Algeria,DZA,Algeria,1,Algeria,2
20,Andorra,AND,Andorra,2,,
24,Angola,AGO,Angola,2,,
660,Anguilla,AIA,Anguilla,2,,
28,Antigua and Barbuda,ATG,Antigua and Barbuda,8,Antigua and Barbuda,1
32,Argentina,ARG,Argentina,51,Argentina,16
51,Armenia,ARM,Armenia,5,Armenia,7
533,Aruba,ABW,Aruba,2,,
36,Australia,AUS,Australia,1139,Australia,91
40,Austria,AUT,Austria,182,Austria,13
31,Azerbaijan,AZE,Azerbaijan,4,Azerbaijan,75
44,Bahamas,BHS,Bahamas,110,Bahamas,8
48,Bahrain,BHR,Bahrain,30,Bahrain,10
50,Bangladesh,BGD,Bangladesh,50,Bangladesh,127
52,Barbados,BRB,Barbados,112,Barbados,16
112,Belarus,BLR,Belarus,,Belarus,2
56,Belgium,BEL,Belgium,113,Belgium,13
84,Belize,BLZ,Belize,12,Belize,2
204,Benin,BEN,Benin,3,Benin,1
60,Bermuda,BMU,Bermuda,215,Bermuda,7
68,Bolivia (Plurinational State of),BOL,Bolivia,11,Bolivia,4
70,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2,,
72,Botswana,BWA,Botswana,16,Botswana,8
76,Brazil,BRA,Brazil,186,Brazil,595
96,Brunei Darussalam,BRN,Brunei,11,Brunei,2
100,Bulgaria,BGR,Bulgaria,15,Bulgaria,2
108,Burundi,BDI,Burundi,1,Burundi,2
116,Cambodia,KHM,Cambodia,5,Cambodia,2
120,Cameroon,CMR,Cameroon,8,Cameroon,7
124,Canada,CAN,Canada,490364,,
136,Cayman Islands,CYM,Cayman Islands,54,Cayman Islands,3
148,Chad,TCD,Chad,3,Chad,3
152,Chile,CHL,Chile,115,Chile,36
156,China,CHN,China,1065,China,7328
170,Colombia,COL,Colombia,79,Colombia,49
178,Congo,COG,Congo,2,Congo Republic,2
188,Costa Rica,CRI,Costa Rica,29,Costa Rica,8
191,Croatia,HRV,Croatia,13,Croatia,7
192,Cuba,CUB,Cuba,7,Cuba,3
196,Cyprus,CYP,Cyprus,38,Cyprus,1
203,Czech Republic,CZE,Czech Republic,35,Czech Republic,9
208,Denmark,DNK,Denmark,38,Denmark,14
262,"Djibouti, Republic of",DJI,"Djibouti, Republic of",,Djibouti,1
212,Dominica,DMA,Dominica,7,Dominica,3
214,Dominican Republic,DOM,Dominican Republic,12,Dominican Republic,1
218,Ecuador,ECU,Ecuador,17,Ecuador,73
818,Egypt,EGY,Egypt,92,Egypt,88
222,El Salvador,SLV,El Salvador,4,El Salvador,3
232,Eritrea,ERI,Eritrea,,Eritrea,2
233,Estonia,EST,Estonia,14,Estonia,3
231,Ethiopia,ETH,Ethiopia,18,Ethiopia,11
234,Faeroe Islands,FRO,Faeroe Islands,1,,
242,Fiji,FJI,Fiji,4,,
246,Finland,FIN,Finland,45,Finland,9
250,France,FRA,France,479,France,76
258,French Polynesia,PYF,French Polynesia,3,,
266,Gabon,GAB,Gabon,1,Gabon,1
270,Gambia,GMB,Gambia,3,Gambia,5
268,Georgia,GEO,Georgia,,Georgia,1
276,Germany,DEU,Germany,605,Germany,102
288,Ghana,GHA,Ghana,77,Ghana,26
292,Gibraltar,GIB,Gibraltar,1,,
300,Greece,GRC,Greece,249,Greece,39
304,Greenland,GRL,Greenland,1,,
308,Grenada,GRD,Grenada,12,,
316,Guam,GUM,Guam,2,,
320,Guatemala,GTM,Guatemala,14,Guatemala,4
324,Guinea,GIN,Guinea,2,Guinea,1
328,Guyana,GUY,Guyana,43,Guyana,8
332,Haiti,HTI,Haiti,5,Haiti,1
340,Honduras,HND,Honduras,6,Honduras,3
344,"China, Hong Kong Special Administrative Region",HKG,Hong Kong,5071,Hong Kong,315
348,Hungary,HUN,Hungary,31,Hungary,6
352,Iceland,ISL,Iceland,26,Iceland,3
356,India,IND,India,659,India,715
360,Indonesia,IDN,Indonesia,154,Indonesia,64
364,Iran (Islamic Republic of),IRN,Iran,90,Iran,183
368,Iraq,IRQ,Iraq,5,Iraq,8
372,Ireland,IRL,Ireland,226,Ireland,49
376,Israel,ISR,Israel,618,Israel,104
380,Italy,ITA,Italy,234,Italy,70
384,Côte d'Ivoire,CIV,Ivory Coast,4,,
388,Jamaica,JAM,Jamaica,272,Jamaica,27
392,Japan,JPN,Japan,692,Japan,193
400,Jordan,JOR,Jordan,34,Jordan,24
398,Kazakhstan,KAZ,Kazakhstan,19,Kazakhstan,70
404,Kenya,KEN,Kenya,118,Kenya,35
417,Kyrgyzstan,KGZ,Kyrgyzstan,3,Kyrgyzstan,3
296,Kiribati,KIR,Kiribati,1,,
414,Kuwait,KWT,Kuwait,50,Kuwait,23
418,Lao People's Democratic Republic,LAO,Laos,1,,
428,Latvia,LVA,Latvia,12,Latvia,2
422,Lebanon,LBN,Lebanon,31,Lebanon,22
426,Lesotho,LSO,Lesotho,5,Lesotho,1
430,Liberia,LBR,Liberia,6,Liberia,1
434,Libya,LBY,Libya,5,Libya,6
438,Liechtenstein,LIE,Liechtenstein,1,Liechtenstein,1
440,Lithuania,LTU,Lithuania,1,Lithuania,2
442,Luxembourg,LUX,Luxembourg,14,Luxembourg,3
446,"China, Macao Special Administrative Region",MAC,Macau,36,Macau,17
807,The former Yugoslav Republic of Macedonia,MKD,Macedonia,3,Macedonia,1
450,Madagascar,MDG,Madagascar,3,,
454,Malawi,MWI,Malawi,8,Malawi,1
458,Malaysia,MYS,Malaysia,451,Malaysia,186
462,Maldives,MDV,Maldives,2,,
